month_date,market,mining,lifestyle,lifestyle_melb_nsw
2007-10-01,0.10661182973576855,0.43766846282464067,0.04438770615776366,0.04741572894061555
2007-11-01,0.11389624920870545,0.435753446636171,0.04430779596119849,0.04822013320390087
2007-12-01,0.11866469422012238,0.43669140558426744,0.047176008067232655,0.037541734515653374
2008-01-01,0.1232989979081136,0.4412893314173807,0.047002542109544465,0.03825953947157182
2008-02-01,0.12505486766587914,0.4317191266272342,0.049535595414570754,0.04054929471254223
2008-03-01,0.12248117122722757,0.4313707536586744,0.047511964590316924,0.04023029783336543
2008-04-01,0.11956614001842025,0.4262905099691381,0.043142245857365036,0.02959141323866002
2008-05-01,0.11345847903803952,0.42289487555480476,0.03667440177924475,0.02400107446459923
2008-06-01,0.10728341580574474,0.41815440838682316,0.03178754095690073,0.0227974172016491
2008-07-01,0.10575065078957069,0.41764494420671316,0.01957115437603585,0.011165547229767064
2008-08-01,0.1031591129517393,0.40766699353002533,0.022618278308071837,0.010597412479603913
2008-09-01,0.10290535743141338,0.40547387232729626,0.021260607704245094,0.008414691616743492
2008-10-01,0.09846726302583253,0.39966074583616373,0.023738517243058088,0.012695547448953098
2008-11-01,0.09726846165562586,0.3870268896882302,0.031138730130684134,0.016274789341755108
2008-12-01,0.09637770842798732,0.3844140689602854,0.034307997961914416,0.02356996617863319
2009-01-01,0.10302319357957579,0.3826009853948884,0.028975606116532826,0.01740743136254133
2009-02-01,0.10822131386958622,0.37922760298384095,0.029203975803122728,0.018784841663941926
2009-03-01,0.11602783870728728,0.3735474881507228,0.02387052763461217,0.016542839339776988
2009-04-01,0.1239499478404289,0.3715125960018031,0.02323664330492503,0.018296138892387376
2009-05-01,0.1280725228855839,0.3694891257971815,0.019590884618505444,0.013693565430371285
2009-06-01,0.13264284002390303,0.3591711886029485,0.0133290274364809,0.0027417236463382066
2009-07-01,0.14347669142163877,0.36274410976349514,0.0006134039549275938,-0.01716235479607739
2009-08-01,0.15241166898512004,0.36374290563202183,-0.00620968193349658,-0.021475326266186506
2009-09-01,0.16374220507544401,0.3581392291762968,-0.01455029450900669,-0.0285370088619806
2009-10-01,0.17512628898516658,0.35000086726272417,-0.024571395709618415,-0.038969707878741294
2009-11-01,0.1809282226107547,0.34834090357914893,-0.02848008873446861,-0.0382439112260716
2009-12-01,0.18587599858842885,0.3515578454719357,-0.031395250577206935,-0.04204076970934531
2010-01-01,0.1974523156634267,0.35155153744520495,-0.034398897189064415,-0.046902993768162954
2010-02-01,0.20488502796092467,0.34916886303493544,-0.04747144528084368,-0.059591443759486745
2010-03-01,0.21049691511500424,0.3415089758231835,-0.057681141633753596,-0.07255742695680664
2010-04-01,0.2141773563935656,0.33022562531733324,-0.06486548303710682,-0.08202064087247227
2010-05-01,0.2148640469781038,0.33251968479776806,-0.07250856988997112,-0.08546707094305525
2010-06-01,0.20956340898714343,0.3280900871947112,-0.07271334992084755,-0.0846761916631836
2010-07-01,0.21327540528517575,0.3266384744780728,-0.08146844781295559,-0.0900213123000407
2010-08-01,0.21500956799877846,0.3234606007718763,-0.09036400657641563,-0.0952218789636182
2010-09-01,0.21493929723930316,0.32555685851599847,-0.09671043733028928,-0.09987998898199976
2010-10-01,0.21579895444049546,0.3227277421900179,-0.09775987676696751,-0.09611525125162776
2010-11-01,0.21447273511937492,0.31410344744056395,-0.09911456331376411,-0.09285576345732513
2010-12-01,0.2119789873674669,0.3094183429122239,-0.10229718547928324,-0.08712361603130411
2011-01-01,0.21114098792036828,0.30657049356202193,-0.09914707066452488,-0.08572908370899221
2011-02-01,0.21176850212707454,0.3035039617695019,-0.1038112087811992,-0.09031775776333859
2011-03-01,0.21339447564650005,0.29285021321209803,-0.10543456739473245,-0.09352358117084311
